modelo,prompt_id,categoria,lenguaje,intento,tiempo_modelo,tiempo_ejecucion,acierto,pass@k
qwen-2.5-7b,Sorting_4,Sorting,python,1,10.0727,0.0078,0,1.0
qwen-2.5-7b,Sorting_4,Sorting,python,2,10.0727,0.0074,1,1.0
qwen-2.5-7b,Sorting_4,Sorting,python,3,10.0727,0.0072,0,1.0
qwen-2.5-7b,Sorting_4,Sorting,c,1,9.7422,0.0,0,0.0
qwen-2.5-7b,Sorting_4,Sorting,c,2,9.7422,0.0,0,0.0
qwen-2.5-7b,Sorting_4,Sorting,c,3,9.7422,0.0,0,0.0
qwen-2.5-7b,Sorting_4,Sorting,bash,1,8.4883,0.0012,0,0.0
qwen-2.5-7b,Sorting_4,Sorting,bash,2,8.4883,0.0009,0,0.0
qwen-2.5-7b,Sorting_4,Sorting,bash,3,8.4883,0.0009,0,0.0
qwen-2.5-7b,Sorting_5,Sorting,python,1,4.9323,0.0084,1,1.0
qwen-2.5-7b,Sorting_5,Sorting,python,2,4.9323,0.0077,1,1.0
qwen-2.5-7b,Sorting_5,Sorting,python,3,4.9323,0.0078,1,1.0
qwen-2.5-7b,Sorting_5,Sorting,c,1,8.4703,0.0,0,0.0
qwen-2.5-7b,Sorting_5,Sorting,c,2,8.4703,0.0,0,0.0
qwen-2.5-7b,Sorting_5,Sorting,c,3,8.4703,0.0,0,0.0
qwen-2.5-7b,Sorting_5,Sorting,bash,1,8.3497,0.0012,0,0.0
qwen-2.5-7b,Sorting_5,Sorting,bash,2,8.3497,0.0013,0,0.0
qwen-2.5-7b,Sorting_5,Sorting,bash,3,8.3497,0.0119,0,0.0
qwen-2.5-7b,Search_6,Search,python,1,2.1071,0.0,0,1.0
qwen-2.5-7b,Search_6,Search,python,2,2.1071,0.008,0,1.0
qwen-2.5-7b,Search_6,Search,python,3,2.1071,0.0075,1,1.0
qwen-2.5-7b,Search_6,Search,c,1,4.7308,0.0,0,1.0
qwen-2.5-7b,Search_6,Search,c,2,4.7308,0.0485,1,1.0
qwen-2.5-7b,Search_6,Search,c,3,4.7308,0.0502,1,1.0
qwen-2.5-7b,Search_6,Search,bash,1,8.3222,0.0017,1,1.0
qwen-2.5-7b,Search_6,Search,bash,2,8.3222,0.0015,1,1.0
qwen-2.5-7b,Search_6,Search,bash,3,8.3222,0.0014,0,1.0
qwen-2.5-7b,Search_7,Search,python,1,6.4488,0.0079,0,1.0
qwen-2.5-7b,Search_7,Search,python,2,6.4488,0.007,1,1.0
qwen-2.5-7b,Search_7,Search,python,3,6.4488,0.0068,1,1.0
qwen-2.5-7b,Search_7,Search,c,1,3.805,0.0,0,1.0
qwen-2.5-7b,Search_7,Search,c,2,3.805,0.0365,1,1.0
qwen-2.5-7b,Search_7,Search,c,3,3.805,0.0339,1,1.0
qwen-2.5-7b,Search_7,Search,bash,1,3.814,0.0013,1,1.0
qwen-2.5-7b,Search_7,Search,bash,2,3.814,0.0,0,1.0
qwen-2.5-7b,Search_7,Search,bash,3,3.814,0.0009,1,1.0
qwen-2.5-7b,Search_8,Search,python,1,6.322,0.0078,1,1.0
qwen-2.5-7b,Search_8,Search,python,2,6.322,0.0074,1,1.0
qwen-2.5-7b,Search_8,Search,python,3,6.322,0.0069,1,1.0
qwen-2.5-7b,Search_8,Search,c,1,6.8226,0.0893,1,1.0
qwen-2.5-7b,Search_8,Search,c,2,6.8226,0.0412,1,1.0
qwen-2.5-7b,Search_8,Search,c,3,6.8226,0.0323,0,1.0
qwen-2.5-7b,Search_8,Search,bash,1,4.9841,0.0012,1,1.0
qwen-2.5-7b,Search_8,Search,bash,2,4.9841,0.001,1,1.0
qwen-2.5-7b,Search_8,Search,bash,3,4.9841,0.0008,1,1.0
qwen-2.5-7b,Recursion_9,Recursion,python,1,3.1602,0.008,1,1.0
qwen-2.5-7b,Recursion_9,Recursion,python,2,3.1602,0.0075,0,1.0
qwen-2.5-7b,Recursion_9,Recursion,python,3,3.1602,0.0078,1,1.0
qwen-2.5-7b,Recursion_9,Recursion,c,1,8.1853,0.0,0,0.0
qwen-2.5-7b,Recursion_9,Recursion,c,2,8.1853,0.0396,0,0.0
qwen-2.5-7b,Recursion_9,Recursion,c,3,8.1853,0.0,0,0.0
qwen-2.5-7b,Recursion_9,Recursion,bash,1,5.0136,0.0095,0,1.0
qwen-2.5-7b,Recursion_9,Recursion,bash,2,5.0136,0.0036,1,1.0
qwen-2.5-7b,Recursion_9,Recursion,bash,3,5.0136,0.0,0,1.0
qwen-2.5-7b,Recursion_10,Recursion,python,1,2.4488,0.0133,1,1.0
qwen-2.5-7b,Recursion_10,Recursion,python,2,2.4488,0.0098,1,1.0
qwen-2.5-7b,Recursion_10,Recursion,python,3,2.4488,0.0088,0,1.0
qwen-2.5-7b,Recursion_10,Recursion,c,1,3.0409,0.0375,1,1.0
qwen-2.5-7b,Recursion_10,Recursion,c,2,3.0409,0.0,0,1.0
qwen-2.5-7b,Recursion_10,Recursion,c,3,3.0409,0.0403,1,1.0
qwen-2.5-7b,Recursion_10,Recursion,bash,1,7.8337,0.0083,0,1.0
qwen-2.5-7b,Recursion_10,Recursion,bash,2,7.8337,0.0077,1,1.0
qwen-2.5-7b,Recursion_10,Recursion,bash,3,7.8337,0.0008,0,1.0
qwen-2.5-7b,Recursion_11,Recursion,python,1,2.8645,0.008,0,0.0
qwen-2.5-7b,Recursion_11,Recursion,python,2,2.8645,0.0074,0,0.0
qwen-2.5-7b,Recursion_11,Recursion,python,3,2.8645,0.0071,0,0.0
qwen-2.5-7b,Recursion_11,Recursion,c,1,4.9623,0.0,0,0.0
qwen-2.5-7b,Recursion_11,Recursion,c,2,4.9623,0.0751,0,0.0
qwen-2.5-7b,Recursion_11,Recursion,c,3,4.9623,0.0458,0,0.0
qwen-2.5-7b,Recursion_11,Recursion,bash,1,8.4264,0.0,0,0.0
qwen-2.5-7b,Recursion_11,Recursion,bash,2,8.4264,0.0012,0,0.0
qwen-2.5-7b,Recursion_11,Recursion,bash,3,8.4264,0.001,0,0.0
