modelo,prompt_id,categoria,lenguaje,intento,tiempo_modelo,tiempo_ejecucion,acierto,pass@k
deepseekV16.7B,Algebraic_2,Algebraic,c,3,7.7055,0.0,0,0.0
deepseekV16.7B,Algebraic_2,Algebraic,bash,1,7.6506,0.0086,0,1.0
deepseekV16.7B,Algebraic_2,Algebraic,bash,2,7.6506,0.0008,0,1.0
deepseekV16.7B,Algebraic_2,Algebraic,bash,3,7.6506,0.0016,1,1.0
deepseekV16.7B,Sorting_3,Sorting,python,1,7.6179,0.0081,1,1.0
deepseekV16.7B,Sorting_3,Sorting,python,2,7.6179,0.0072,0,1.0
deepseekV16.7B,Sorting_3,Sorting,python,3,7.6179,0.0073,0,1.0
deepseekV16.7B,Sorting_3,Sorting,c,1,7.6431,0.0,0,0.0
deepseekV16.7B,Sorting_3,Sorting,c,2,7.6431,0.0,0,0.0
deepseekV16.7B,Sorting_3,Sorting,c,3,7.6431,0.0,0,0.0
deepseekV16.7B,Sorting_3,Sorting,bash,1,8.8605,0.0012,0,0.0
deepseekV16.7B,Sorting_3,Sorting,bash,2,8.8605,0.0008,0,0.0
deepseekV16.7B,Sorting_3,Sorting,bash,3,8.8605,0.0008,0,0.0
deepseekV16.7B,Sorting_4,Sorting,python,1,8.1149,0.0088,0,0.0
deepseekV16.7B,Sorting_4,Sorting,python,2,8.1149,0.0081,0,0.0
deepseekV16.7B,Sorting_4,Sorting,python,3,8.1149,0.0081,0,0.0
deepseekV16.7B,Sorting_4,Sorting,c,1,7.7533,0.0,0,0.0
deepseekV16.7B,Sorting_4,Sorting,c,2,7.7533,0.0,0,0.0
deepseekV16.7B,Sorting_4,Sorting,c,3,7.7533,0.0,0,0.0
deepseekV16.7B,Sorting_4,Sorting,bash,1,7.639,0.0,0,0.0
deepseekV16.7B,Sorting_4,Sorting,bash,2,7.639,0.001,0,0.0
deepseekV16.7B,Sorting_4,Sorting,bash,3,7.639,0.0008,0,0.0
deepseekV16.7B,Sorting_5,Sorting,python,1,7.6225,0.008,0,1.0
deepseekV16.7B,Sorting_5,Sorting,python,2,7.6225,0.0077,1,1.0
deepseekV16.7B,Sorting_5,Sorting,python,3,7.6225,0.0076,0,1.0
deepseekV16.7B,Sorting_5,Sorting,c,1,7.7347,0.0,0,0.0
deepseekV16.7B,Sorting_5,Sorting,c,2,7.7347,0.0,0,0.0
deepseekV16.7B,Sorting_5,Sorting,c,3,7.7347,0.0,0,0.0
deepseekV16.7B,Sorting_5,Sorting,bash,1,7.7294,0.0011,0,0.0
deepseekV16.7B,Sorting_5,Sorting,bash,2,7.7294,0.0009,0,0.0
deepseekV16.7B,Sorting_5,Sorting,bash,3,7.7294,0.0034,0,0.0
deepseekV16.7B,Search_6,Search,python,1,7.8833,0.0089,0,1.0
deepseekV16.7B,Search_6,Search,python,2,7.8833,0.0086,0,1.0
deepseekV16.7B,Search_6,Search,python,3,7.8833,0.0085,1,1.0
deepseekV16.7B,Search_6,Search,c,1,7.7934,0.0,0,1.0
deepseekV16.7B,Search_6,Search,c,2,7.7934,0.0428,1,1.0
deepseekV16.7B,Search_6,Search,c,3,7.7934,0.0,0,1.0
deepseekV16.7B,Search_6,Search,bash,1,7.8355,0.0011,1,1.0
deepseekV16.7B,Search_6,Search,bash,2,7.8355,0.034,0,1.0
deepseekV16.7B,Search_6,Search,bash,3,7.8355,0.0012,0,1.0
deepseekV16.7B,Search_7,Search,python,1,8.7561,0.0,0,1.0
deepseekV16.7B,Search_7,Search,python,2,8.7561,0.0078,1,1.0
deepseekV16.7B,Search_7,Search,python,3,8.7561,0.0078,0,1.0
deepseekV16.7B,Search_7,Search,c,1,7.9798,0.0,0,1.0
deepseekV16.7B,Search_7,Search,c,2,7.9798,0.0479,1,1.0
deepseekV16.7B,Search_7,Search,c,3,7.9798,0.0365,1,1.0
deepseekV16.7B,Search_7,Search,bash,1,7.7488,0.0018,1,1.0
deepseekV16.7B,Search_7,Search,bash,2,7.7488,0.0249,0,1.0
deepseekV16.7B,Search_7,Search,bash,3,7.7488,0.0009,1,1.0
deepseekV16.7B,Search_8,Search,python,1,7.6343,0.0078,1,1.0
deepseekV16.7B,Search_8,Search,python,2,7.6343,0.0072,1,1.0
deepseekV16.7B,Search_8,Search,python,3,7.6343,0.007,1,1.0
deepseekV16.7B,Search_8,Search,c,1,7.6169,0.2439,1,1.0
deepseekV16.7B,Search_8,Search,c,2,7.6169,0.0,0,1.0
deepseekV16.7B,Search_8,Search,c,3,7.6169,0.0,0,1.0
deepseekV16.7B,Search_8,Search,bash,1,8.6033,0.0011,1,1.0
deepseekV16.7B,Search_8,Search,bash,2,8.6033,0.0009,0,1.0
deepseekV16.7B,Search_8,Search,bash,3,8.6033,0.0009,1,1.0
deepseekV16.7B,Recursion_9,Recursion,python,1,7.9474,0.0081,0,1.0
deepseekV16.7B,Recursion_9,Recursion,python,2,7.9474,0.0075,1,1.0
deepseekV16.7B,Recursion_9,Recursion,python,3,7.9474,0.0071,0,1.0
deepseekV16.7B,Recursion_9,Recursion,c,1,7.8144,0.0396,0,0.0
deepseekV16.7B,Recursion_9,Recursion,c,2,7.8144,0.0376,0,0.0
deepseekV16.7B,Recursion_9,Recursion,c,3,7.8144,0.0375,0,0.0
deepseekV16.7B,Recursion_9,Recursion,bash,1,7.542,0.0011,0,1.0
deepseekV16.7B,Recursion_9,Recursion,bash,2,7.542,0.0015,1,1.0
deepseekV16.7B,Recursion_9,Recursion,bash,3,7.542,0.0009,0,1.0
deepseekV16.7B,Recursion_10,Recursion,python,1,7.4352,0.0077,1,1.0
deepseekV16.7B,Recursion_10,Recursion,python,2,7.4352,0.0076,1,1.0
deepseekV16.7B,Recursion_10,Recursion,python,3,7.4352,0.007,1,1.0
deepseekV16.7B,Recursion_10,Recursion,c,1,7.4921,0.0363,1,1.0
deepseekV16.7B,Recursion_10,Recursion,c,2,7.4921,0.0409,1,1.0
deepseekV16.7B,Recursion_10,Recursion,c,3,7.4921,0.0859,1,1.0
deepseekV16.7B,Recursion_10,Recursion,bash,1,7.5591,0.0077,1,1.0
deepseekV16.7B,Recursion_10,Recursion,bash,2,7.5591,0.0047,0,1.0
deepseekV16.7B,Recursion_10,Recursion,bash,3,7.5591,0.0046,0,1.0
deepseekV16.7B,Recursion_11,Recursion,python,1,7.699,0.0078,0,0.0
deepseekV16.7B,Recursion_11,Recursion,python,2,7.699,0.007,0,0.0
deepseekV16.7B,Recursion_11,Recursion,python,3,7.699,0.0068,0,0.0
deepseekV16.7B,Recursion_11,Recursion,c,1,7.6135,0.0,0,0.0
deepseekV16.7B,Recursion_11,Recursion,c,2,7.6135,0.0,0,0.0
deepseekV16.7B,Recursion_11,Recursion,c,3,7.6135,0.0,0,0.0
deepseekV16.7B,Recursion_11,Recursion,bash,1,7.6502,0.0011,0,0.0
deepseekV16.7B,Recursion_11,Recursion,bash,2,7.6502,0.001,0,0.0
deepseekV16.7B,Recursion_11,Recursion,bash,3,7.6502,0.0013,0,0.0
