modelo,prompt_id,categoria,lenguaje,intento,tiempo_modelo,tiempo_ejecucion,acierto,pass@k
phi4,Search_8,Search,bash,1,2.5374,0.0015,0,1.0
phi4,Search_8,Search,bash,2,2.5374,0.001,1,1.0
phi4,Search_8,Search,bash,3,2.5374,0.001,0,1.0
phi4,Recursion_9,Recursion,python,1,1.7906,0.0081,0,0.0
phi4,Recursion_9,Recursion,python,2,1.7906,0.0078,0,0.0
phi4,Recursion_9,Recursion,python,3,1.7906,0.0077,0,0.0
phi4,Recursion_9,Recursion,c,1,4.1067,0.0345,0,0.0
phi4,Recursion_9,Recursion,c,2,4.1067,0.0407,0,0.0
phi4,Recursion_9,Recursion,c,3,4.1067,0.0481,0,0.0
phi4,Recursion_9,Recursion,bash,1,2.7717,0.0015,0,0.0
phi4,Recursion_9,Recursion,bash,2,2.7717,0.0009,0,0.0
phi4,Recursion_9,Recursion,bash,3,2.7717,0.0013,0,0.0
phi4,Recursion_10,Recursion,python,1,1.0464,0.008,1,1.0
phi4,Recursion_10,Recursion,python,2,1.0464,0.0077,1,1.0
phi4,Recursion_10,Recursion,python,3,1.0464,0.0077,1,1.0
phi4,Recursion_10,Recursion,c,1,1.6331,0.0581,1,1.0
phi4,Recursion_10,Recursion,c,2,1.6331,0.057,1,1.0
phi4,Recursion_10,Recursion,c,3,1.6331,0.0463,1,1.0
phi4,Recursion_10,Recursion,bash,1,2.2581,0.0081,0,0.0
phi4,Recursion_10,Recursion,bash,2,2.2581,0.0078,0,0.0
phi4,Recursion_10,Recursion,bash,3,2.2581,0.0077,0,0.0
phi4,Recursion_11,Recursion,python,1,2.0145,0.0083,0,0.0
phi4,Recursion_11,Recursion,python,2,2.0145,0.0077,0,0.0
phi4,Recursion_11,Recursion,python,3,2.0145,0.0078,0,0.0
phi4,Recursion_11,Recursion,c,1,3.1724,0.0573,0,0.0
phi4,Recursion_11,Recursion,c,2,3.1724,0.0519,0,0.0
phi4,Recursion_11,Recursion,c,3,3.1724,0.0556,0,0.0
phi4,Recursion_11,Recursion,bash,1,2.8348,0.0013,0,0.0
phi4,Recursion_11,Recursion,bash,2,2.8348,0.0009,0,0.0
phi4,Recursion_11,Recursion,bash,3,2.8348,0.0011,0,0.0
